Category: All categories

Week,Chipotle Mexican Grill: (United States)
2013-10-06,34
2013-10-13,37
2013-10-20,36
2013-10-27,52
2013-11-03,37
2013-11-10,35
2013-11-17,34
2013-11-24,29
2013-12-01,33
2013-12-08,34
2013-12-15,35
2013-12-22,39
2013-12-29,44
2014-01-05,37
2014-01-12,40
2014-01-19,41
2014-01-26,49
2014-02-02,41
2014-02-09,45
2014-02-16,48
2014-02-23,48
2014-03-02,56
2014-03-09,51
2014-03-16,45
2014-03-23,47
2014-03-30,49
2014-04-06,47
2014-04-13,50
2014-04-20,53
2014-04-27,51
2014-05-04,62
2014-05-11,49
2014-05-18,55
2014-05-25,52
2014-06-01,56
2014-06-08,57
2014-06-15,55
2014-06-22,55
2014-06-29,52
2014-07-06,52
2014-07-13,52
2014-07-20,56
2014-07-27,52
2014-08-03,51
2014-08-10,49
2014-08-17,50
2014-08-24,47
2014-08-31,51
2014-09-07,48
2014-09-14,45
2014-09-21,45
2014-09-28,47
2014-10-05,45
2014-10-12,45
2014-10-19,49
2014-10-26,62
2014-11-02,47
2014-11-09,46
2014-11-16,48
2014-11-23,48
2014-11-30,43
2014-12-07,45
2014-12-14,46
2014-12-21,45
2014-12-28,59
2015-01-04,53
2015-01-11,57
2015-01-18,52
2015-01-25,69
2015-02-01,48
2015-02-08,52
2015-02-15,53
2015-02-22,45
2015-03-01,41
2015-03-08,48
2015-03-15,44
2015-03-22,46
2015-03-29,46
2015-04-05,52
2015-04-12,55
2015-04-19,67
2015-04-26,67
2015-05-03,68
2015-05-10,57
2015-05-17,54
2015-05-24,53
2015-05-31,55
2015-06-07,57
2015-06-14,54
2015-06-21,53
2015-06-28,59
2015-07-05,56
2015-07-12,60
2015-07-19,82
2015-07-26,73
2015-08-02,66
2015-08-09,66
2015-08-16,68
2015-08-23,61
2015-08-30,59
2015-09-06,59
2015-09-13,54
2015-09-20,55
2015-09-27,51
2015-10-04,49
2015-10-11,51
2015-10-18,51
2015-10-25,60
2015-11-01,94
2015-11-08,57
2015-11-15,52
2015-11-22,46
2015-11-29,49
2015-12-06,67
2015-12-13,47
2015-12-20,52
2015-12-27,49
2016-01-03,52
2016-01-10,65
2016-01-17,49
2016-01-24,40
2016-01-31,45
2016-02-07,100
2016-02-14,50
2016-02-21,50
2016-02-28,41
2016-03-06,48
2016-03-13,49
2016-03-20,49
2016-03-27,48
2016-04-03,45
2016-04-10,42
2016-04-17,41
2016-04-24,46
2016-05-01,53
2016-05-08,41
2016-05-15,48
2016-05-22,48
2016-05-29,44
2016-06-05,51
2016-06-12,45
2016-06-19,44
2016-06-26,54
2016-07-03,57
2016-07-10,53
2016-07-17,53
2016-07-24,50
2016-07-31,48
2016-08-07,44
2016-08-14,43
2016-08-21,44
2016-08-28,48
2016-09-04,49
2016-09-11,42
2016-09-18,45
2016-09-25,45
2016-10-02,43
2016-10-09,55
2016-10-16,50
2016-10-23,53
2016-10-30,62
2016-11-06,47
2016-11-13,42
2016-11-20,41
2016-11-27,40
2016-12-04,39
2016-12-11,35
2016-12-18,39
2016-12-25,41
2017-01-01,48
2017-01-08,42
2017-01-15,40
2017-01-22,42
2017-01-29,44
2017-02-05,41
2017-02-12,41
2017-02-19,43
2017-02-26,43
2017-03-05,41
2017-03-12,44
2017-03-19,43
2017-03-26,47
2017-04-02,51
2017-04-09,43
2017-04-16,46
2017-04-23,51
2017-04-30,62
2017-05-07,43
2017-05-14,45
2017-05-21,46
2017-05-28,51
2017-06-04,47
2017-06-11,58
2017-06-18,48
2017-06-25,48
2017-07-02,47
2017-07-09,51
2017-07-16,70
2017-07-23,60
2017-07-30,52
2017-08-06,51
2017-08-13,45
2017-08-20,47
2017-08-27,48
2017-09-03,43
2017-09-10,52
2017-09-17,46
2017-09-24,46
2017-10-01,45
2017-10-08,42
2017-10-15,43
2017-10-22,44
2017-10-29,55
2017-11-05,47
2017-11-12,40
2017-11-19,33
2017-11-26,40
2017-12-03,40
2017-12-10,38
2017-12-17,41
2017-12-24,41
2017-12-31,46
2018-01-07,40
2018-01-14,41
2018-01-21,40
2018-01-28,42
2018-02-04,39
2018-02-11,42
2018-02-18,42
2018-02-25,47
2018-03-04,42
2018-03-11,41
2018-03-18,41
2018-03-25,44
2018-04-01,47
2018-04-08,42
2018-04-15,45
2018-04-22,48
2018-04-29,48
2018-05-06,59
2018-05-13,46
2018-05-20,45
2018-05-27,48
2018-06-03,54
2018-06-10,47
2018-06-17,45
2018-06-24,51
2018-07-01,49
2018-07-08,49
2018-07-15,47
2018-07-22,49
2018-07-29,67
2018-08-05,47
2018-08-12,54
2018-08-19,46
2018-08-26,44
2018-09-02,43
2018-09-09,42
2018-09-16,42
2018-09-23,44
2018-09-30,47
