TIME PERIOD,PRODUCT,TOTAL DOLS (000),NETWORK TV DOLS (000),CABLE TV DOLS (000),SPOT TV DOLS (000),MAGAZINES DOLS (000),NATL NEWSP DOLS (000),NEWSPAPER DOLS (000),NAT SPOT RADIO DOLS (000),OUTDOOR DOLS (000)
"WEEK OF OCT 07, 2013 (B)",Chipotle Mexican Grill : General Promotion - QSR,54.8,0,0,0,0,0,0,54.8,0
"WEEK OF OCT 14, 2013 (B)",Chipotle Mexican Grill : General Promotion - QSR,54.8,0,0,0,0,0,0,54.8,0
"WEEK OF OCT 21, 2013 (B)",Chipotle Mexican Grill : General Promotion - QSR,54.8,0,0,0,0,0,0,54.8,0
"WEEK OF OCT 28, 2013 (B)",Chipotle Mexican Grill : General Promotion - QSR,183.5,0,0,0,0,0,0,31.3,152.2
"WEEK OF NOV 25, 2013 (B)",Chipotle Mexican Grill : General Promotion - QSR,165.4,0,0,0,0,0,0,0,165.4
"WEEK OF DEC 16, 2013 (B)",Chipotle Mexican Grill : General Promotion - QSR,220.3,0,0,0,220.3,0,0,0,0
"WEEK OF DEC 30, 2013 (B)",Chipotle Mexican Grill : General Promotion - QSR,154.9,0,0,0,0,0,0,0,154.9
"WEEK OF JAN 27, 2014 (B)",Chipotle Mexican Grill : General Promotion - QSR,154.4,0,0,0,0,0,0,0.3,154.1
"WEEK OF FEB 03, 2014 (B)",Chipotle Mexican Grill : General Promotion - QSR,1.1,0,0,0,0,0,0,1.1,0
"WEEK OF FEB 10, 2014 (B)",Chipotle Mexican Grill : General Promotion - QSR,1.1,0,0,0,0,0,0,1.1,0
"WEEK OF FEB 17, 2014 (B)",Chipotle Mexican Grill : General Promotion - QSR,1.1,0,0,0,0,0,0,1.1,0
"WEEK OF FEB 24, 2014 (B)",Chipotle Mexican Grill : General Promotion - QSR,367.5,0,0,0,0,0,0,0.8,366.7
"WEEK OF MAR 31, 2014 (B)",Chipotle Mexican Grill : General Promotion - QSR,966.7,0,0,0,0,0,0,117.6,849.1
"WEEK OF APR 07, 2014 (B)",Chipotle Mexican Grill : General Promotion - QSR,137.2,0,0,0,0,0,0,137.2,0
"WEEK OF APR 14, 2014 (B)",Chipotle Mexican Grill : General Promotion - QSR,141.1,0,0,0,0,0,3.9,137.2,0
"WEEK OF APR 21, 2014 (B)",Chipotle Mexican Grill : General Promotion - QSR,137.2,0,0,0,0,0,0,137.2,0
"WEEK OF APR 28, 2014 (B)",Chipotle Mexican Grill : General Promotion - QSR,1440.1,0,0,0,0,0,0,128.5,1311.6
"WEEK OF MAY 05, 2014 (B)",Chipotle Mexican Grill : General Promotion - QSR,353.3,0,0,0,231.3,0,0,122,0
"WEEK OF MAY 12, 2014 (B)",Chipotle Mexican Grill : General Promotion - QSR,469.2,0,0,0,337.4,0,9.8,122,0
"WEEK OF MAY 19, 2014 (B)",Chipotle Mexican Grill : General Promotion - QSR,876.5,0,0,0,754.5,0,0,122,0
"WEEK OF MAY 26, 2014 (B)",Chipotle Mexican Grill : General Promotion - QSR,1101.5,0,0,0,242.2,0,0,128.1,731.2
"WEEK OF JUN 02, 2014 (B)",Chipotle Mexican Grill : General Promotion - QSR,376.3,0,0,0,211.6,0,0,164.7,0
"WEEK OF JUN 09, 2014 (B)",Chipotle Mexican Grill : General Promotion - QSR,1050.7,0,0,0,886,0,0,164.7,0
"WEEK OF JUN 16, 2014 (B)",Chipotle Mexican Grill : General Promotion - QSR,420.9,0,0,0,256.2,0,0,164.7,0
"WEEK OF JUN 23, 2014 (B)",Chipotle Mexican Grill : General Promotion - QSR,164.7,0,0,0,0,0,0,164.7,0
"WEEK OF JUN 30, 2014 (B)",Chipotle Mexican Grill : General Promotion - QSR,923.7,0,0,0,211.6,0,0,23.5,688.5
"WEEK OF JUL 28, 2014 (B)",Chipotle Mexican Grill : General Promotion - QSR,817.4,0,0,0,0,0,0,43,774.5
"WEEK OF JUL 28, 2014 (B)",Chipotle MLS Homegrown Game : Sponsored Event,21.4,0,0,0,0,0,21.4,0,0
"WEEK OF AUG 04, 2014 (B)",Chipotle Mexican Grill : General Promotion - QSR,100.2,0,0,0,0,0,0,100.2,0
"WEEK OF AUG 11, 2014 (B)",Chipotle Mexican Grill : General Promotion - QSR,100.2,0,0,0,0,0,0,100.2,0
"WEEK OF AUG 18, 2014 (B)",Chipotle Mexican Grill : General Promotion - QSR,100.2,0,0,0,0,0,0,100.2,0
"WEEK OF AUG 25, 2014 (B)",Chipotle Mexican Grill : General Promotion - QSR,100.2,0,0,0,0,0,0,100.2,0
"WEEK OF SEP 01, 2014 (B)",Chipotle Mexican Grill : General Promotion - QSR,874.8,0,0,0,0,0,0,86.5,788.4
"WEEK OF SEP 08, 2014 (B)",Chipotle Mexican Grill : General Promotion - QSR,303.4,0,0,0,216.8,0,0.1,86.5,0
